Epoch,Loss,Consistency,Diversity
0,1.2471022340986464,0.3078067547337774,0.5779578771750392
1,0.9514913128481971,0.3078067547337774,0.5779578771750392
2,0.7555371158652835,0.3078067547337774,0.5779578771750392
3,0.683446486790975,0.3078067547337774,0.5779578771750392
4,0.6489646832148234,0.3078067547337774,0.5779578771750392
5,0.6341169145372179,0.3078067547337774,0.5779578771750392
6,0.6316334936353896,0.3078067547337774,0.5779578771750392
7,0.630789127614763,0.3078067547337774,0.5779578771750392
8,0.6136473284827338,0.3078067547337774,0.5779578771750392
9,0.6010796344942517,0.3078067547337774,0.5779578771750392
10,0.587191202574306,0.3078067547337774,0.5779578771750392
11,0.5787639568249384,0.3078067547337774,0.5779578771750392
12,0.5707340488831202,0.3078067547337774,0.5779578771750392
