Epoch,Loss,Consistency,Diversity
0,1.1458639476610266,0.3078067547337774,0.5779578771750392
1,1.130588236062423,0.3078067547337774,0.5779578771750392
2,1.002255890680396,0.3078067547337774,0.5779578771750392
3,0.9377542604570803,0.3078067547337774,0.5779578771750392
4,0.9231055689894635,0.3078067547337774,0.5779578771750392
5,0.8944830039273137,0.3078067547337774,0.5779578771750392
6,0.8986766208773074,0.3078067547337774,0.5779578771750392
7,0.8765848823215651,0.3078067547337774,0.5779578771750392
8,0.8744591241297515,0.3078067547337774,0.5779578771750392
9,0.873256372368854,0.3078067547337774,0.5779578771750392
10,0.8658870665923409,0.3078067547337774,0.5779578771750392
11,0.862423194491345,0.3078067547337774,0.5779578771750392
12,0.8618899143260458,0.3078067547337774,0.5779578771750392
13,0.8585477264031119,0.3078067547337774,0.5779578771750392
14,0.8564623335133428,0.3078067547337774,0.5779578771750392
15,0.8521160327869913,0.3078067547337774,0.5779578771750392
16,0.7933975302654764,0.3078067547337774,0.5779578771750392
17,0.7900121186090552,0.3078067547337774,0.5779578771750392
18,0.7540963292121887,0.3078067547337774,0.5779578771750392
19,0.7197451436001322,0.3078067547337774,0.5779578771750392
20,0.7184056795161703,0.3078067547337774,0.5779578771750392
21,0.6877079619013745,0.3078067547337774,0.5779578771750392
22,0.6719104984532231,0.3078067547337774,0.5779578771750392
23,0.6705560010412465,0.3078067547337774,0.5779578771750392
24,0.6609751439612844,0.3078067547337774,0.5779578771750392
25,0.6574043579723524,0.3078067547337774,0.5779578771750392
26,0.6546183461728303,0.3078067547337774,0.5779578771750392
27,0.6474121498024982,0.3078067547337774,0.5779578771750392
28,0.6452535339023756,0.3078067547337774,0.5779578771750392
