Epoch,Loss,Consistency,Diversity
0,1.0381829227719988,0.3078067547337774,0.5779578771750392
1,0.563914207475526,0.3078067547337774,0.5779578771750392
2,0.4617325301681246,0.3078067547337774,0.5779578771750392
3,0.4492873421737126,0.3078067547337774,0.5779578771750392
4,0.3894905618258885,0.3078067547337774,0.5779578771750392
5,0.3543906275715147,0.3078067547337774,0.5779578771750392
6,0.35341061651706696,0.3078067547337774,0.5779578771750392
7,0.34261855695928845,0.3078067547337774,0.5779578771750392
8,0.3244316556624004,0.3078067547337774,0.5779578771750392
9,0.31755935294287546,0.3078067547337774,0.5779578771750392
10,0.30748774324144634,0.3078067547337774,0.5779578771750392
11,0.3025010015283312,0.3078067547337774,0.5779578771750392
12,0.287092741046633,0.3078067547337774,0.5779578771750392
13,0.28224913350173403,0.3078067547337774,0.5779578771750392
14,0.2776846949543272,0.3078067547337774,0.5779578771750392
15,0.2687838301062584,0.3078067547337774,0.5779578771750392
16,0.26220633941037313,0.3078067547337774,0.5779578771750392
17,0.26103275482143673,0.3078067547337774,0.5779578771750392
18,0.2617546958582742,0.3078067547337774,0.5779578771750392
19,0.26157622997249874,0.3078067547337774,0.5779578771750392
20,0.2545041633503778,0.3078067547337774,0.5779578771750392
21,0.25663935393095016,0.3078067547337774,0.5779578771750392
22,0.2640545591711998,0.3078067547337774,0.5779578771750392
