Epoch,Contrastive_Loss,Consistency_Loss,Diversity_Loss
0,0.3528843179897026,0.6064100629753537,0.9658817560584457
1,0.28909037041443364,0.5174126106279867,0.9967927264946478
2,0.29143345797503434,0.4934530898376747,0.9981338569411525
3,0.2853451660937733,0.48366664736359205,0.9985579484038882
4,0.2874169704262857,0.4681365743831352,0.9988479134109285
5,0.28342171510060626,0.4687309002986661,0.9990347044335471
6,0.2872754129822607,0.45427920834885704,0.999288813383491
7,0.2857932831954073,0.44236665191473784,0.9994382709264755
8,0.28896881860715373,0.43356376279283454,0.9994922070591538
9,0.2847205410125079,0.4262775146850833,0.9995759664862244
10,0.28867860745500634,0.4207274767535704,0.9995352173293078
